;ano;mes;seguradora;vendedor;tot_apolices;venda;date;total_venda
393;2019;7;75;22;1;87,5;2019-07-01;87,5
394;2019;7;78;25;1;50,0;2019-07-01;50,0
395;2019;7;35;55;1;4322,43;2019-07-01;4322,43
396;2019;7;23;9;1;300,77;2019-07-01;300,77
397;2019;7;83;20;1;137,345;2019-07-01;137,345
398;2019;7;55;57;1;4963,17;2019-07-01;4963,17
399;2019;7;66;9;3;339,115;2019-07-01;1017,345
400;2019;7;13;16;1;76,85;2019-07-01;76,85
401;2019;7;72;59;2;112,99;2019-07-01;225,98
402;2019;7;31;17;1;52,535;2019-07-01;52,535
403;2019;7;66;2;2;130,875;2019-07-01;261,75
404;2019;7;44;20;1;74,04;2019-07-01;74,04
405;2019;7;44;54;1;86,25;2019-07-01;86,25
406;2019;7;31;35;5;-2200,05;2019-07-01;-11000,25
407;2019;7;66;39;1;153,21;2019-07-01;153,21
408;2019;7;72;16;20;7230,69;2019-07-01;144613,8
409;2019;7;44;14;6;173,595;2019-07-01;1041,57
410;2019;7;31;56;1;87,255;2019-07-01;87,255
411;2019;7;66;16;17;1081,245;2019-07-01;18381,164999999997
412;2019;7;21;20;2;258,145;2019-07-01;516,29
413;2019;7;44;38;9;330,515;2019-07-01;2974,6349999999998
414;2019;7;72;56;4;409,975;2019-07-01;1639,9
415;2019;7;31;16;1;195,145;2019-07-01;195,145
416;2019;7;72;35;20;625,955;2019-07-01;12519,1
417;2019;7;55;20;2;1613,325;2019-07-01;3226,65
418;2019;7;64;16;2;56,06;2019-07-01;112,12
419;2019;7;54;42;1;3974,645;2019-07-01;3974,645
420;2019;7;44;35;1;59,5;2019-07-01;59,5
421;2019;7;66;44;1;156,97;2019-07-01;156,97
422;2019;7;66;14;4;664,785;2019-07-01;2659,14
423;2019;7;72;54;2;1289,645;2019-07-01;2579,29
424;2019;7;66;58;1;52,74;2019-07-01;52,74
425;2019;7;83;42;1;169,855;2019-07-01;169,855
426;2019;7;31;57;2;59,69;2019-07-01;119,38
427;2019;7;66;38;12;2273,68;2019-07-01;27284,159999999996
428;2019;7;75;27;1;71,33;2019-07-01;71,33
429;2019;7;72;47;1;674,29;2019-07-01;674,29
430;2019;7;64;57;1;52,47;2019-07-01;52,47
431;2019;7;72;57;10;2057,59;2019-07-01;20575,9
432;2019;7;66;35;10;20,225;2019-07-01;202,25
433;2019;7;19;13;1;335,625;2019-07-01;335,625
434;2019;7;21;25;1;50,0;2019-07-01;50,0
435;2019;7;66;56;6;608,515;2019-07-01;3651,09
436;2019;7;72;39;2;1080,64;2019-07-01;2161,28
437;2019;7;66;47;2;122,93;2019-07-01;245,86
438;2019;7;13;1;1;122,675;2019-07-01;122,675
439;2019;7;44;16;8;475,145;2019-07-01;3801,16
440;2019;7;72;2;4;56,03;2019-07-01;224,12
441;2019;7;44;9;3;267,445;2019-07-01;802,335
442;2019;7;72;44;2;377,24;2019-07-01;754,48
443;2019;7;66;52;1;123,65;2019-07-01;123,65
444;2019;7;72;1;2;439,015;2019-07-01;878,03
445;2019;7;72;14;7;4364,14;2019-07-01;30548,980000000003
446;2019;7;66;17;1;343,705;2019-07-01;343,705
447;2019;7;64;1;1;1159,39;2019-07-01;1159,39
448;2019;7;72;20;2;166,84;2019-07-01;333,68
