ano,mes,seguradora,vendedor,tot_apolices,receita
2019,8,31,35,6,"4350,955"
2019,8,31,16,7,"4139,555"
2019,8,31,14,1,"210,17"
2019,8,66,59,3,"53,68"
2019,8,66,58,1,"82,87"
2019,8,66,57,7,"958,185"
2019,8,66,56,6,"572,185"
2019,8,66,55,1,"71,415"
2019,8,66,47,2,"121,835"
2019,8,66,44,1,"98,215"
2019,8,66,43,8,"1084,645"
2019,8,66,39,1,"77,005"
2019,8,66,38,5,"332,2"
2019,8,66,35,6,"320,61"
2019,8,66,20,4,"165,665"
2019,8,66,19,20,"2017,99"
2019,8,66,17,1,"146,43"
2019,8,66,16,8,"822,7"
2019,8,66,14,7,"560,98"
2019,8,66,9,2,"204,795"
2019,8,66,2,7,"344,87"
2019,8,66,1,1,"488,505"
2019,8,72,59,5,"1160,47"
2019,8,72,56,9,"3789,495"
2019,8,72,54,1,"165,34"
2019,8,72,47,3,"1150,075"
2019,8,72,43,6,"687,795"
2019,8,72,42,5,"1152,795"
2019,8,72,41,5,"1204,66"
2019,8,72,38,5,"642,175"
2019,8,72,35,7,"-515,955"
2019,8,72,20,3,"2650,24"
2019,8,72,19,3,"819,595"
2019,8,72,16,15,"4600,555"
2019,8,72,14,8,"2642,67"
2019,8,72,13,1,"90,195"
2019,8,72,12,22,"1203,275"
2019,8,72,9,3,"1237,475"
2019,8,72,2,4,"150,45"
2019,8,72,1,1,"289,75"
2019,9,72,59,4,"178,205"
2019,9,72,57,1,"245,15"
2019,9,72,56,1,"349,15"
2019,9,72,47,1,"362,145"
2019,9,72,43,2,"285,625"
2019,9,72,42,1,"119,145"
2019,9,72,39,2,"283,46"
2019,9,72,38,3,"1917,585"
2019,9,72,17,2,"266,29"
2019,9,72,16,8,"4005,715"
2019,9,72,15,1,"261,175"
2019,9,72,14,7,"3294,63"
2019,9,72,12,7,"912,035"
2019,9,72,9,3,"382,33"
2019,9,72,2,3,"1297,45"
2019,9,66,57,5,"797,215"
2019,9,66,56,4,"158,615"
2019,9,66,55,3,"311,84"
2019,9,66,44,2,"209,445"
2019,9,66,43,1,"150,19"
2019,9,66,42,1,"289,705"
2019,9,66,39,4,"687,2"
2019,9,66,38,1,"60,71"
2019,9,66,35,1,"108,935"
2019,9,66,20,6,"306,545"
2019,9,66,19,20,"2330,84"
2019,9,66,16,17,"936,64"
2019,9,66,14,3,"291,235"
2019,9,66,9,3,"348,13"
2019,9,66,1,2,"348,825"
2019,9,31,57,3,"718,2"
2019,9,31,38,3,"1133,13"
2019,9,31,35,3,"6252,6"
2019,9,31,16,3,"1302,7"
2019,9,31,9,5,"233,235"
2019,9,64,57,1,"327,35"
2019,9,64,26,2,"455,385"
2019,9,64,16,2,"246,85"
2019,9,83,54,1,"612,56"
2019,9,83,42,1,"73,3"
2019,9,77,20,1,"2319,855"
2019,9,44,59,1,"71,25"
2019,9,44,57,1,"200,94"
2019,9,44,54,1,100
2019,9,44,42,10,"518,485"
2019,9,44,39,1,"61,875"
2019,9,44,38,6,"444,77"
2019,9,44,17,3,"118,875"
2019,9,44,16,9,"839,765"
2019,9,44,14,1,"74,19"
2019,9,44,12,7,"787,86"
2019,9,44,9,3,"125,205"
2019,9,55,20,1,"479,22"
2019,9,55,12,1,"25766,23"
2019,9,62,22,1,"2231,67"
2019,9,54,42,1,"1031,16"
2019,9,23,16,1,"2201,695"
2019,9,6,17,1,"73,085"
2019,9,21,57,1,"3740,865"
2019,9,21,56,1,140
2019,9,21,20,1,"404,565"
2019,9,21,16,3,"1493,14"
2019,9,19,13,1,"337,045"
2019,10,35,20,1,"67,88"
2019,10,21,20,1,"76,75"
2019,10,21,16,1,50
2019,10,13,16,1,"86,775"
2019,10,54,42,1,"1031,16"
2019,10,56,17,1,"279,66"
2019,10,55,20,2,"4914,39"
2019,10,44,54,1,"1234,12"
2019,10,44,42,3,"113,85"
2019,10,44,38,5,"239,915"
2019,10,44,20,1,"72,895"
2019,10,44,16,12,3748
2019,10,44,12,8,"1134,19"
2019,10,44,9,6,"231,51"
2019,10,83,54,1,"612,56"
2019,10,83,42,2,"81,625"
2019,10,64,57,1,"327,35"
2019,10,64,26,1,"494,605"
2019,10,64,22,1,"67,63"
2019,10,64,16,1,"250,6"
2019,10,31,42,1,"110,26"
2019,10,31,39,1,"87,5"
