;ano;mes;seguradora;vendedor;tot_apolices;venda;tot_venda;month_name
272;2019;5;66;43;1;100,665;100,665;May
273;2019;5;66;47;2;59,325;118,65;May
274;2019;5;72;42;2;371,19;742,38;May
275;2019;5;55;20;2;5873,46;11746,92;May
276;2019;5;21;20;4;752,91;3011,64;May
277;2019;5;72;39;1;621,07;621,07;May
278;2019;5;72;59;3;105,59;316,77;May
279;2019;5;44;14;5;184,355;921,775;May
280;2019;5;51;16;1;9097,725;9097,725;May
281;2019;5;66;19;9;249,435;2244,915;May
282;2019;5;44;20;1;79,91;79,91;May
283;2019;5;66;57;10;996,23;9962,3;May
284;2019;5;66;55;3;128,905;386,71500000000003;May
285;2019;5;19;54;2;1405,135;2810,27;May
286;2019;5;55;44;1;2506,585;2506,585;May
287;2019;5;72;19;5;2722,52;13612,6;May
288;2019;5;72;35;5;1542,93;7714,650000000001;May
289;2019;5;72;57;6;640,915;3845,49;May
290;2019;5;44;54;2;86,98;173,96;May
291;2019;5;31;9;2;113,73;227,46;May
292;2019;5;31;57;3;305,865;917,595;May
293;2019;5;64;57;4;275,335;1101,34;May
294;2019;5;72;38;1;75,41;75,41;May
295;2019;5;64;26;1;1334,875;1334,875;May
296;2019;5;44;15;1;332,42;332,42;May
297;2019;5;31;38;1;65,75;65,75;May
298;2019;5;66;14;3;115,83;347,49;May
299;2019;5;72;9;4;673,22;2692,88;May
300;2019;5;72;12;12;2725,29;32703,48;May
301;2019;5;66;20;11;309,305;3402,355;May
302;2019;5;21;16;2;219,9;439,8;May
303;2019;5;31;12;2;11732,565;23465,13;May
304;2019;5;72;43;1;331,515;331,515;May
305;2019;5;66;54;1;396,05;396,05;May
306;2019;6;72;47;4;1029,38;4117,52;June
307;2019;6;66;57;2;164,545;329,09;June
308;2019;6;66;38;2;194,825;389,65;June
309;2019;6;44;13;1;108,5;108,5;June
310;2019;6;66;9;1;158,545;158,545;June
311;2019;6;66;19;2;61,335;122,67;June
312;2019;6;78;25;1;50,0;50,0;June
313;2019;6;72;41;1;457,815;457,815;June
314;2019;6;81;54;1;115,085;115,085;June
315;2019;6;72;35;10;-2522,18;-25221,8;June
316;2019;6;83;54;1;2300,23;2300,23;June
317;2019;6;55;20;2;385,45;770,9;June
318;2019;6;72;56;9;9172,88;82555,92;June
319;2019;6;21;20;3;522,515;1567,545;June
320;2019;6;42;58;1;231,525;231,525;June
321;2019;6;66;56;8;310,74;2485,92;June
322;2019;6;44;12;4;163,215;652,86;June
323;2019;6;66;35;2;65,745;131,49;June
324;2019;6;44;43;1;155,43;155,43;June
325;2019;6;72;14;8;3105,49;24843,92;June
326;2019;6;72;38;10;2036,625;20366,25;June
327;2019;6;31;16;4;4377,835;17511,34;June
328;2019;6;55;19;1;9122,64;9122,64;June
329;2019;6;64;16;1;163,3;163,3;June
330;2019;6;66;42;1;117,555;117,555;June
331;2019;6;72;16;13;3074,495;39968,435;June
332;2019;6;23;56;2;361,07;722,14;June
333;2019;6;44;9;3;149,515;448,54499999999996;June
334;2019;6;72;2;1;354,735;354,735;June
335;2019;6;66;58;2;50,61;101,22;June
336;2019;6;74;1;1;63,81;63,81;June
337;2019;6;44;54;2;270,535;541,07;June
338;2019;6;31;57;2;504,655;1009,31;June
339;2019;6;44;16;7;314,37;2200,59;June
340;2019;6;44;17;1;59,0;59,0;June
341;2019;6;44;47;1;105,1;105,1;June
342;2019;6;66;44;1;98,215;98,215;June
343;2019;6;72;43;4;920,71;3682,84;June
344;2019;6;72;54;2;136,02;272,04;June
345;2019;6;31;1;1;51,5;51,5;June
346;2019;6;64;26;3;1705,855;5117,5650000000005;June
347;2019;6;31;38;1;675,28;675,28;June
348;2019;6;66;14;6;387,41;2324,46;June
349;2019;6;77;20;1;11859,25;11859,25;June
350;2019;6;72;9;1;273,09;273,09;June
351;2019;6;66;1;1;117,52;117,52;June
352;2019;6;72;20;6;5941,915;35651,49;June
353;2019;6;44;42;6;103,835;623,01;June
354;2019;6;44;56;4;2419,08;9676,32;June
355;2019;6;66;6;1;1179,5;1179,5;June
356;2019;6;31;56;1;263,36;263,36;June
357;2019;6;31;54;2;2437,6;4875,2;June
358;2019;6;44;38;9;224,11;2016,9900000000002;June
359;2019;6;72;1;4;114,585;458,34;June
360;2019;6;72;12;11;405,23;4457,530000000001;June
361;2019;6;74;2;1;58,35;58,35;June
362;2019;6;66;16;7;972,645;6808,514999999999;June
363;2019;6;66;55;2;104,72;209,44;June
364;2019;6;64;57;1;58,6;58,6;June
365;2019;6;72;59;2;950,14;1900,28;June
366;2019;6;72;42;2;109,81;219,62;June
367;2019;6;31;39;1;136,89;136,89;June
368;2019;6;66;20;6;725,075;4350,450000000001;June
369;2019;6;66;17;1;243,01;243,01;June
370;2019;6;66;46;1;77,945;77,945;June
371;2019;6;31;9;2;54,65;109,3;June
372;2019;6;44;14;5;176,48;882,4;June
373;2019;6;66;2;1;75,005;75,005;June
374;2019;7;72;41;4;3170,59;12682,36;July
375;2019;7;72;38;8;1276,355;10210,84;July
376;2019;7;66;1;6;335,13;2010,78;July
377;2019;7;66;57;2;110,21;220,42;July
378;2019;7;66;19;30;2209,465;66283,95000000001;July
379;2019;7;72;58;1;533,575;533,575;July
380;2019;7;72;18;3;-720,72;-2162,16;July
381;2019;7;62;27;3;77,315;231,945;July
382;2019;7;81;47;4;213,2;852,8;July
383;2019;7;72;9;4;1250,225;5000,9;July
384;2019;7;66;54;2;518,24;1036,48;July
385;2019;7;66;42;3;789,765;2369,295;July
386;2019;7;44;55;1;114,62;114,62;July
387;2019;7;31;38;1;68,75;68,75;July
388;2019;7;72;42;5;1189,215;5946,075;July
389;2019;7;44;39;1;61,875;61,875;July
390;2019;7;66;43;6;700,315;4201,89;July
391;2019;7;66;20;10;411,89;4118,9;July
392;2019;7;72;12;11;-794,16;-8735,76;July
393;2019;7;75;22;1;87,5;87,5;July
394;2019;7;78;25;1;50,0;50,0;July
395;2019;7;35;55;1;4322,43;4322,43;July
396;2019;7;23;9;1;300,77;300,77;July
397;2019;7;83;20;1;137,345;137,345;July
398;2019;7;55;57;1;4963,17;4963,17;July
399;2019;7;66;9;3;339,115;1017,345;July
400;2019;7;13;16;1;76,85;76,85;July
401;2019;7;72;59;2;112,99;225,98;July
402;2019;7;31;17;1;52,535;52,535;July
403;2019;7;66;2;2;130,875;261,75;July
404;2019;7;44;20;1;74,04;74,04;July
405;2019;7;44;54;1;86,25;86,25;July
406;2019;7;31;35;5;-2200,05;-11000,25;July
407;2019;7;66;39;1;153,21;153,21;July
408;2019;7;72;16;20;7230,69;144613,8;July
409;2019;7;44;14;6;173,595;1041,57;July
410;2019;7;31;56;1;87,255;87,255;July
411;2019;7;66;16;17;1081,245;18381,164999999997;July
412;2019;7;21;20;2;258,145;516,29;July
413;2019;7;44;38;9;330,515;2974,6349999999998;July
414;2019;7;72;56;4;409,975;1639,9;July
415;2019;7;31;16;1;195,145;195,145;July
416;2019;7;72;35;20;625,955;12519,1;July
417;2019;7;55;20;2;1613,325;3226,65;July
418;2019;7;64;16;2;56,06;112,12;July
419;2019;7;54;42;1;3974,645;3974,645;July
420;2019;7;44;35;1;59,5;59,5;July
421;2019;7;66;44;1;156,97;156,97;July
422;2019;7;66;14;4;664,785;2659,14;July
423;2019;7;72;54;2;1289,645;2579,29;July
424;2019;7;66;58;1;52,74;52,74;July
425;2019;7;83;42;1;169,855;169,855;July
426;2019;7;31;57;2;59,69;119,38;July
427;2019;7;66;38;12;2273,68;27284,159999999996;July
428;2019;7;75;27;1;71,33;71,33;July
429;2019;7;72;47;1;674,29;674,29;July
430;2019;7;64;57;1;52,47;52,47;July
431;2019;7;72;57;10;2057,59;20575,9;July
432;2019;7;66;35;10;20,225;202,25;July
433;2019;7;19;13;1;335,625;335,625;July
434;2019;7;21;25;1;50,0;50,0;July
435;2019;7;66;56;6;608,515;3651,09;July
436;2019;7;72;39;2;1080,64;2161,28;July
437;2019;7;66;47;2;122,93;245,86;July
438;2019;7;13;1;1;122,675;122,675;July
439;2019;7;44;16;8;475,145;3801,16;July
440;2019;7;72;2;4;56,03;224,12;July
441;2019;7;44;9;3;267,445;802,335;July
442;2019;7;72;44;2;377,24;754,48;July
443;2019;7;66;52;1;123,65;123,65;July
444;2019;7;72;1;2;439,015;878,03;July
445;2019;7;72;14;7;4364,14;30548,980000000003;July
446;2019;7;66;17;1;343,705;343,705;July
447;2019;7;64;1;1;1159,39;1159,39;July
448;2019;7;72;20;2;166,84;333,68;July
449;2019;7;66;55;3;172,685;518,0550000000001;July
450;2019;7;44;42;4;546,405;2185,62;July
451;2019;7;44;12;5;278,73;1393,65;July
452;2019;7;77;20;1;2329,63;2329,63;July
453;2019;7;23;16;1;51,015;51,015;July
454;2019;8;31;38;3;2193,42;6580,26;August
455;2019;8;66;14;5;507,225;2536,125;August
456;2019;8;72;18;1;43,02;43,02;August
457;2019;8;21;16;2;797,57;1595,14;August
458;2019;8;66;20;3;141,52;424,56000000000006;August
459;2019;8;72;43;5;517,865;2589,325;August
460;2019;8;72;38;4;1382,2;5528,8;August
461;2019;8;66;1;8;430,485;3443,88;August
462;2019;8;72;12;17;817,66;13900,22;August
463;2019;8;72;16;16;4518,89;72302,24;August
464;2019;8;64;16;2;72,95;145,9;August
465;2019;8;31;9;2;53,25;106,5;August
466;2019;8;66;39;3;522,83;1568,4900000000002;August
467;2019;8;23;20;1;172,46;172,46;August
468;2019;8;31;16;5;622,64;3113,2;August
469;2019;8;66;2;5;264,005;1320,025;August
470;2019;8;55;1;1;150,515;150,515;August
471;2019;8;72;19;2;368,76;737,52;August
472;2019;8;19;13;1;265,285;265,285;August
473;2019;8;31;57;1;1480,235;1480,235;August
474;2019;8;44;14;3;107,35;322,04999999999995;August
475;2019;8;44;16;4;569,395;2277,58;August
476;2019;8;31;39;1;81,5;81,5;August
477;2019;8;72;59;6;417,94;2507,64;August
478;2019;8;72;39;2;283,46;566,92;August
479;2019;8;66;43;4;578,685;2314,74;August
480;2019;8;66;57;1;54,79;54,79;August
481;2019;8;21;25;2;175,0;350,0;August
482;2019;8;66;19;13;646,215;8400,795;August
483;2019;8;6;12;1;-137,08;-137,08;August
484;2019;8;44;17;1;73,1;73,1;August
485;2019;8;62;27;27;320,0;8640,0;August
486;2019;8;55;20;4;5732,45;22929,8;August
